阿根廷	a gen ting
管理办法	guan li ban fa
管理部	guan li bu
管理部门	guan li bu men
管理层	guan li ceng
管理处	guan li chu
管理费	guan li fei
管理工作	guan li gong zuo
管理规定	guan li gui ding
管理机构	guan li ji gou
管理局	guan li ju
管理类	guan li lei
管理模式	guan li mo shi
管理人	guan li ren
管理人员	guan li ren yuan
管理软件	guan li ruan jian
管理水平	guan li shui ping
管理体系	guan li ti xi
管理体制	guan li ti zhi
管理条例	guan li tiao li
管理系统	guan li xi tong
管理学	guan li xue
管理员	guan li yuan
管理者	guan li zhe
管理制度	guan li zhi du
管理中心	guan li zhong xin
关联	guan lian
观念	guan nian
观赏	guan shang
灌水	guan shui
关税	guan shui
管委会	guan wei hui
关系	guan xi
关系到	guan xi dao
管辖	guan xia
管线	guan xian
关心	guan xin
关心的	guan xin de
关于	guan yu
关于加强	guan yu jia qiang
官员	guan yuan
管制	guan zhi
观众	guan zhong
关注	guan zhu
广播	guang bo
广播电视	guang bo dian shi
光彩	guang cai
广场	guang chang
广大	guang da
光电	guang dian
广东	guang dong
广东省	guang dong sheng
广泛	guang fan
广泛的	guang fan de
广告	guang gao
广告服务	guang gao fu wu
广告公司	guang gao gong si
广告位	guang gao wei
光滑	guang hua
光辉	guang hui
广阔	guang kuo
光临	guang lin
光芒	guang mang
光明	guang ming
光盘	guang pan
光驱	guang qu
光圈	guang quan
光荣	guang rong
广西	guang xi
光线	guang xian
光纤	guang xian
光学	guang xue
光源	guang yuan
光泽	guang ze
广州	guang zhou
广州市	guang zhou shi
贵宾	gui bin
规程	gui cheng
归档	gui dang
轨道	gui dao
规定	gui ding
规定了	gui ding le
规范	gui fan
规范化	gui fan hua
规范性	gui fan xing
规格	gui ge
贵公司	gui gong si
规划	gui hua
归还	gui huan
规矩	gui ju
归来	gui lai
桂林	gui lin
规律	gui lv
规模	gui mo
规模最大	gui mo zui da
归纳	gui na
归属	gui shu
柜台	gui tai
贵阳	gui yang
规则	gui ze
规章	gui zhang
规章制度	gui zhang zhi du
贵州	gui zhou
贵州省	gui zhou sheng
贵族	gui zu
滚动	gun dong
国产	guo chan
国产软件	guo chan ruan jian
过程	guo cheng
过程中	guo cheng zhong
过程中的	guo cheng zhong de
过错	guo cuo
过大	guo da
国道	guo dao
过的	guo de
过度	guo du
过渡	guo du
过多	guo duo
国防	guo fang
过分	guo fen
过高	guo gao
过后	guo hou
国际	guo ji
国际标准	guo ji biao zhun
国际化	guo ji hua
国际贸易	guo ji mao yi
国际上	guo ji shang
国际市场	guo ji shi chang
国家	guo jia
国家安全	guo jia an quan
国家标准	guo jia biao zhun
国家法律	guo jia fa lv
国家规定	guo jia gui ding
国家级	guo jia ji
国家机关	guo jia ji guan
国家主席	guo jia zhu xi
过客	guo ke
过来	guo lai
过了	guo le
锅炉	guo lu
过滤	guo lv
国民	guo min
过敏	guo min
国民党	guo min dang
国民经济	guo min jing ji
国内	guo nei
国内市场	guo nei shi chang
国内外	guo nei wai
过期	guo qi
国庆	guo qing
国情	guo qing
过去	guo qu
过去了	guo qu le
果然	guo ran
国人	guo ren
果实	guo shi
国土	guo tu
国土资源	guo tu zi yuan
国外	guo wai
国王	guo wang
国务院	guo wu yuan
国有	guo you
国有股	guo you gu
国有企业	guo you qi ye
国有资产	guo you zi chan
过于	guo yu
国语	guo yu
国债	guo zhai
哈尔滨	ha er bin
哈尔滨市	ha er bin shi
海拔	hai ba
海报	hai bao
还包括	hai bao kuo
还必须	hai bi xu
还不	hai bu
还不错	hai bu cuo
还不如	hai bu ru
还不是	hai bu shi
还得	hai dei
海淀区	hai dian qu
海尔	hai er
海关	hai guan
还好	hai hao
还很	hai hen
还会	hai hui
还将	hai jiang
海军	hai jun
还可	hai ke
还可以	hai ke yi
海口	hai kou
还买	hai mai
还没	hai mei
还没有	hai mei you
海南	hai nan
海内外	hai nei wai
还能	hai neng
害怕	hai pa
海上	hai shang
还是	hai shi
还是很	hai shi hen
还是要	hai shi yao
还是有	hai shi you
还是在	hai shi zai
海水	hai shui
还说	hai shuo
海外	hai wai
还未	hai wei
还为	hai wei
海鲜	hai xian
还需	hai xu
还需要	hai xu yao
海洋	hai yang
还要	hai yao
还应	hai ying
还有	hai you
还有很多	hai you hen duo
还有什么	hai you shen me
还有一个	hai you yi ge
还有一些	hai you yi xie
海域	hai yu
还在	hai zai
还真	hai zhen
孩子	hai zi
孩子们	hai zi men
涵盖	han gai
韩国	han guo
汉化	han hua
焊接	han jie
寒冷	han leng
含量	han liang
函数	han shu
含意	han yi
含有	han you
汉语	han yu
汉字	han zi
汉族	han zu
航班	hang ban
航空	hang kong
航空公司	hang kong gong si
行列	hang lie
行情	hang qing
航天	hang tian
航线	hang xian
行业	hang ye
行业标准	hang ye biao zhun
行业发展	hang ye fa zhan
行业协会	hang ye xie hui
杭州	hang zhou
杭州市	hang zhou shi
好啊	hao a
好吧	hao ba
毫不	hao bu
好不好	hao bu hao
耗材	hao cai
号称	hao cheng
好吃	hao chi
好处	hao chu
好的	hao de
好东西	hao dong xi
好多	hao duo
豪华	hao hua
好坏	hao huai
好看	hao kan
毫克	hao ke
好莱坞	hao lai wu
好了	hao le
好吗	hao ma
毫米	hao mi
毫秒	hao miao
好朋友	hao peng you
好评	hao ping
好评度	hao ping du
好奇	hao qi
好人	hao ren
毫升	hao sheng
好事	hao shi
好玩	hao wan
毫无	hao wu
好像	hao xiang
好友	hao you
好在	hao zai
号召	hao zhao
河北	he bei
河北省	he bei sheng
何必	he bi
合并	he bing
核查	he cha
合成	he cheng
何处	he chu
河道	he dao
核定	he ding
核对	he dui
合法	he fa
核发	he fa
合法权益	he fa quan yi
合法性	he fa xing
合肥	he fei
合肥市	he fei shi
合格	he ge
呵护	he hu
合伙人	he huo ren
合金	he jin
喝酒	he jiu
何况	he kuang
荷兰	he lan
喝了	he le
合理	he li
合力	he li
合理的	he li de
河流	he liu
河南	he nan
河南省	he nan sheng
和你	he ni
和平	he ping
和尚	he shang
合适	he shi
核实	he shi
何时	he shi
和他	he ta
和她	he ta
核桃	he tao
合同	he tong
合同样本	he tong yang ben
合同约定	he tong yue ding
和我	he wo
和弦	he xian
和相关	he xiang guan
和谐	he xie
和谐社会	he xie she hui
核心	he xin
合约	he yue
何种	he zhong
核准	he zhun
合资	he zi
合租	he zu
合作	he zuo
合作关系	he zuo guan xi
合作伙伴	he zuo huo ban
黑暗	hei an
黑白	hei bai
黑客	hei ke
黑龙江	hei long jiang
黑龙江省	hei long jiang sheng
黑色	hei se
很不错	hen bu cuo
很长	hen chang
很大	hen da
很大啊	hen da a
很低	hen di
很多	hen duo
很多人	hen duo ren
很高	hen gao
很高兴	hen gao xing
很好	hen hao
痕迹	hen ji
很简单	hen jian dan
很久	hen jiu
很可能	hen ke neng
很快	hen kuai
很明显	hen ming xian
很难	hen nan
很强	hen qiang
很容易	hen rong yi
很少	hen shao
很是	hen shi
很喜欢	hen xi huan
很想	hen xiang
很小	hen xiao
很有	hen you
很重	hen zhong
很重要	hen zhong yao
衡量	heng liang
横向	heng xiang
红包	hong bao
宏观	hong guan
宏观调控	hong guan tiao kong
红军	hong jun
红楼梦	hong lou meng
红旗	hong qi
红色	hong se
红柿	hong shi
洪水	hong shui
红外	hong wai
弘扬	hong yang
厚度	hou du
后方	hou fang
后果	hou guo
后悔	hou hui
后会	hou hui
后将	hou jiang
后来	hou lai
后面	hou mian
后期	hou qi
后勤	hou qin
后人	hou ren
后台	hou tai
后续	hou xu
候选	hou xuan
候选人	hou xuan ren
后由	hou you
后又	hou you
后者	hou zhe
猴子	hou zi
湖北	hu bei
湖北省	hu bei sheng
蝴蝶	hu die
互动	hu dong
呼唤	hu huan
户籍	hu ji
呼叫	hu jiao
胡锦涛	hu jin tao
户口	hu kou
护理	hu li
狐狸	hu li
互联	hu lian
互联网	hu lian wang
忽略	hu lve
户名	hu ming
湖南	hu nan
湖南省	hu nan sheng
湖泊	hu po
忽然	hu ran
护士	hu shi
忽视	hu shi
户外	hu wai
呼吸	hu xi
互相	hu xiang
户型	hu xing
呼吁	hu yu
护照	hu zhao
互助	hu zhu
华北	hua bei
画的	hua de
画得	hua de
华东	hua dong
花朵	hua duo
花费	hua fei
化肥	hua fei
划分	hua fen
化工	hua gong
花卉	hua hui
画家	hua jia
化解	hua jie
花了	hua le
华丽	hua li
画面	hua mian
华南	hua nan
花钱	hua qian
华人	hua ren
花生	hua sheng
话说	hua shuo
华硕	hua shuo
话题	hua ti
化为	hua wei
华夏	hua xia
化学	hua xue
滑雪	hua xue
化学品	hua xue pin
话语	hua yu
花园	hua yuan
化妆	hua zhuang
化妆品	hua zhuang pin
坏了	huai le
怀里	huai li
怀念	huai nian
怀疑	huai yi
怀孕	huai yun
环保	huan bao
换成	huan cheng
缓存	huan cun
环节	huan jie
缓解	huan jie
环境	huan jing
环境保护	huan jing bao hu
环境污染	huan jing wu ran
还款	huan kuan
欢乐	huan le
换了	huan le
缓慢	huan man
环球	huan qiu
欢喜	huan xi
幻想	huan xiang
欢迎	huan ying
幻影	huan ying
欢迎大家	huan ying da jia
欢迎光临	huan ying guang lin
欢迎您	huan ying nin
患有	huan you
还原	huan yuan
患者	huan zhe
皇帝	huang di
黄豆	huang dou
黄蜂	huang feng
黄河	huang he
皇后	huang hou
黄昏	huang hun
皇家	huang jia
黄金	huang jin
黄金周	huang jin zhou
黄色	huang se
皇上	huang shang
黄页	huang ye
会把	hui ba
汇报	hui bao
回报	hui bao
会被	hui bei
回避	hui bi
会比	hui bi
会不会	hui bu hui
会场	hui chang
灰尘	hui chen
会出现	hui chu xian
回答	hui da
回到	hui dao
回到了	hui dao le
会的	hui de
回复	hui fu
恢复	hui fu
回复日期	hui fu ri qi
会给	hui gei
会更	hui geng
回顾	hui gu
回归	hui gui
回国	hui guo
会很	hui hen
辉煌	hui huang
回家	hui jia
会将	hui jiang
汇款	hui kuan
回来	hui lai
回来的	hui lai de
回来了	hui lai le
贿赂	hui lu
回落	hui luo
汇率	hui lv
毁灭	hui mie
惠普	hui pu
回去	hui qu
会去	hui qu
会让	hui rang
灰色	hui se
会上	hui shang
会使	hui shi
会是	hui shi
回收	hui shou
会说	hui shuo
回帖	hui tie
会同	hui tong
回头	hui tou
会议	hui yi
回忆	hui yi
会议上	hui yi shang
会议室	hui yi shi
回应	hui ying
会影响	hui ying xiang
会有	hui you
会员	hui yuan
会员价	hui yuan jia
会在	hui zai
会展	hui zhan
会长	hui zhang
绘制	hui zhi
惠州	hui zhou
汇总	hui zong
混合	hun he
婚礼	hun li
混乱	hun luan
混凝土	hun ning tu
浑身	hun shen
婚姻	hun yin
伙伴	huo ban
货币	huo bi
火车	huo che
火车站	huo che zhan
货到付款	huo dao fu kuan
获得了	huo de le
活动	huo dong
活动中	huo dong zhong
火锅	huo guo
火箭	huo jian
获奖	huo jiang
货款	huo kuan
活力	huo li
获利	huo li
活泼	huo po
或其	huo qi
或其他	huo qi ta
获取	huo qu
或是	huo shi
货物	huo wu
获悉	huo xi
活性	huo xing
火星	huo xing
或许	huo xu
火焰	huo yan
或以	huo yi
或有	huo you
活跃	huo yue
货运	huo yun
火灾	huo zai
或在	huo zai
或者	huo zhe
或者其他	huo zhe qi ta
或者是	huo zhe shi
或者说	huo zhe shuo
几百	ji bai
基本	ji ben
基本情况	ji ben qing kuang
基本上	ji ben shang
基本信息	ji ben xin xi
基本要求	ji ben yao qiu
基本原则	ji ben yuan ze
即便	ji bian
级别	ji bie
疾病	ji bing
疾病的	ji bing de
既不	ji bu
基层	ji ceng
机场	ji chang
集成	ji cheng
继承	ji cheng
集成电路	ji cheng dian lu
基础	ji chu
基础教育	ji chu jiao yu
基础上	ji chu shang
基础设施	ji chu she shi
基础知识	ji chu zhi shi
机床	ji chuang
几次	ji ci
极大	ji da
极大的	ji da de
鸡蛋	ji dan
记得	ji de
基地	ji di
几点	ji dian
激动	ji dong
机动	ji dong
机动车	ji dong che
极度	ji du
季度	ji du
极端	ji duan
激发	ji fa
机房	ji fang
计费	ji fei
积分	ji fen
几分	ji fen
肌肤	ji fu
几个	ji ge
几个方面	ji ge fang mian
几个人	ji ge ren
几个月	ji ge yue
机构	ji gou
机关	ji guan
激光	ji guang
集合	ji he
几何	ji he
几乎	ji hu
几乎没有	ji hu mei you
几乎是	ji hu shi
几乎所有	ji hu suo you
计划	ji hua
计划生育	ji hua sheng yu
机会	ji hui
激活	ji huo
积极	ji ji
积极参与	ji ji can yu
积极的	ji ji de
积极地	ji ji de
积极开展	ji ji kai zhan
积极探索	ji ji tan suo
积极性	ji ji xing
几家	ji jia
即将	ji jiang
季节	ji jie
基金	ji jin
基金会	ji jin hui
极具	ji ju
几句	ji ju
即可	ji ke
既可	ji ke
积累	ji lei
积累了	ji lei le
激励	ji li
剂量	ji liang
激烈	ji lie
吉林	ji lin
吉林省	ji lin sheng
记录	ji lu
纪录	ji lu
纪律	ji lv
几率	ji lv
急忙	ji mang
寂寞	ji mo
济南	ji nan
济南市	ji nan shi
技能	ji neng
机能	ji neng
几年	ji nian
纪念	ji nian
机票	ji piao
极品	ji pin
极其	ji qi
及其	ji qi
机器	ji qi
机器人	ji qi ren
及其他	ji qi ta
技巧	ji qiao
激情	ji qing
既然	ji ran
肌肉	ji rou
计入	ji ru
机上	ji shang
机身	ji shen
及时	ji shi
即使	ji shi
既是	ji shi
几十	ji shi
几十年	ji shi nian
即使是	ji shi shi
技术	ji shu
技术标准	ji shu biao zhun
技术创新	ji shu chuang xin
技术服务	ji shu fu wu
技术开发	ji shu kai fa
技术人员	ji shu ren yuan
技术水平	ji shu shui ping
技术与	ji shu yu
技术支持	ji shu zhi chi
祭祀	ji si
激素	ji su
计算	ji suan
计算机	ji suan ji
计算机的	ji suan ji de
吉他	ji ta
集体	ji ti
机体	ji ti
几天	ji tian
集团	ji tuan
集团公司	ji tuan gong si
极为	ji wei
几位	ji wei
即为	ji wei
纪委	ji wei
极限	ji xian
吉祥	ji xiang
机箱	ji xiang
迹象	ji xiang
绩效	ji xiao
讥笑	ji xiao
机械	ji xie
机械设备	ji xie she bei
记性	ji xing
机型	ji xing
急性	ji xing
畸形	ji xing
继续	ji xu
急须	ji xu
急需	ji xu
继续教育	ji xu jiao yu
既要	ji yao
记忆	ji yi
基因	ji yin
既有	ji you
给予	ji yu
基于	ji yu
机遇	ji yu
给予警告	ji yu jing gao
记载	ji zai
即在	ji zai
记者	ji zhe
机制	ji zhi
集中	ji zhong
几种	ji zhong
集中在	ji zhong zai
记住	ji zhu
集装箱	ji zhuang xiang
机组	ji zu
加班	jia ban
嘉宾	jia bin
家产	jia chan
加大	jia da
加大了	jia da le
家电	jia dian
甲方	jia fang
加盖	jia gai
价格	jia ge
加工	jia gong
架构	jia gou
家和	jia he
家伙	jia huo
家教	jia jiao
家具	jia ju
家居	jia ju
加剧	jia ju
加快	jia kuai
加快发展	jia kuai fa zhan
价款	jia kuan
加了	jia le
家里	jia li
加盟	jia meng
加密	jia mi
加拿大	jia na da
佳能	jia neng
假期	jia qi
价钱	jia qian
加强	jia qiang
甲醛	jia quan
加热	jia re
家人	jia ren
假日	jia ri
加入	jia ru
假如	jia ru
加入时间	jia ru shi jian
加入收藏	jia ru shou cang
加上	jia shang
假设	jia she
加深	jia shen
驾驶	jia shi
驾驶员	jia shi yuan
驾驶证	jia shi zheng
家属	jia shu
加速	jia su
家庭	jia ting
价位	jia wei
加为	jia wei
家乡	jia xiang
驾校	jia xiao
家用	jia yong
家用电器	jia yong dian qi
加油	jia you
加油站	jia you zhan
家园	jia yuan
加载	jia zai
家长	jia zhang
价值	jia zhi
加之	jia zhi
价值观	jia zhi guan
家中	jia zhong
加重	jia zhong
家族	jia zu
肩膀	jian bang
简便	jian bian
鉴别	jian bie
兼并	jian bing
建材	jian cai
检测	jian ce
监测	jian ce
检查	jian cha
监察	jian cha
检察院	jian cha yuan
建成	jian cheng
简称	jian cheng
坚持	jian chi
简单	jian dan
见到	jian dao
鉴定	jian ding
坚定	jian ding
监督	jian du
监督管理	jian du guan li
监督检查	jian du jian cha
舰队	jian dui
减肥	jian fei
间隔	jian ge
监管	jian guan
见过	jian guo
建国	jian guo
见过吗	jian guo ma
简化	jian hua
简介	jian jie
间接	jian jie
简洁	jian jie
见解	jian jie
坚决	jian jue
健康	jian kang
健康发展	jian kang fa zhan
监控	jian kong
艰苦	jian ku
见了	jian le
建立	jian li
简历	jian li
建立了	jian li le
建立起	jian li qi
建立一个	jian li yi ge
建立在	jian li zai
见面	jian mian
减免	jian mian
艰难	jian nan
键盘	jian pan
坚强	jian qiang
减轻	jian qing
健全	jian quan
鉴权	jian quan
兼容	jian rong
减弱	jian ruo
减少	jian shao
减少了	jian shao le
建设	jian she
建设部	jian she bu
建设单位	jian she dan wei
建设工程	jian she gong cheng
建设工作	jian she gong zuo
建设项目	jian she xiang mu
建设用地	jian she yong di
建设中	jian she zhong
健身	jian shen
监视	jian shi
坚实的	jian shi de
检索	jian suo
见他	jian ta
简体中文	jian ti zhong wen
见习	jian xi
间隙	jian xi
减小	jian xiao
坚信	jian xin
检验	jian yan
简要	jian yao
建议	jian yi
简易	jian yi
监狱	jian yu
鉴于	jian yu
建造	jian zao
简直	jian zhi
建筑	jian zhu
建筑材料	jian zhu cai liao
建筑工程	jian zhu gong cheng
建筑面积	jian zhu mian ji
建筑物	jian zhu wu
建筑业	jian zhu ye
将被	jiang bei
将不	jiang bu
将成为	jiang cheng wei
将从	jiang cong
将达到	jiang da dao
降到	jiang dao
讲的	jiang de
降低	jiang di
降低了	jiang di le
将对	jiang dui
将该	jiang gai
江湖	jiang hu
讲话	jiang hua
将会	jiang hui
降价	jiang jia
讲解	jiang jie
奖金	jiang jin
将近	jiang jin
讲究	jiang jiu
将军	jiang jun
将来	jiang lai
讲了	jiang le
奖励	jiang li
江南	jiang nan
奖品	jiang pin
将其	jiang qi
将是	jiang shi
僵尸	jiang shi
讲授	jiang shou
讲述	jiang shu
江苏	jiang su
江苏省	jiang su sheng
将为	jiang wei
将我	jiang wo
江西	jiang xi
江西省	jiang xi sheng
奖项	jiang xiang
奖学金	jiang xue jin
将要	jiang yao
将以	jiang yi
将有	jiang you
酱油	jiang you
将由	jiang you
将于	jiang yu
将在	jiang zai
江泽民	jiang ze min
将这	jiang zhe
讲座	jiang zuo
教案	jiao an
骄傲	jiao ao
搅拌	jiao ban
脚本	jiao ben
脚步	jiao bu
教材	jiao cai
交叉	jiao cha
较差	jiao cha
较长	jiao chang
轿车	jiao che
教程	jiao cheng
较大	jiao da
较大的	jiao da de
叫道	jiao dao
较低	jiao di
焦点	jiao dian
角度	jiao du
较多	jiao duo
较多的	jiao duo de
缴费	jiao fei
交付	jiao fu
较高	jiao gao
较高的	jiao gao de
交给	jiao gei
较好	jiao hao
较好的	jiao hao de
交互	jiao hu
交换	jiao huan
交换机	jiao huan ji
教会	jiao hui
交货	jiao huo
较快	jiao kuai
教练	jiao lian
交流	jiao liu
角落	jiao luo
焦虑	jiao lv
缴纳	jiao na
交纳	jiao na
胶囊	jiao nang
较强	jiao qiang
郊区	jiao qu
较少	jiao shao
叫声	jiao sheng
教师	jiao shi
教室	jiao shi
教授	jiao shou
交谈	jiao tan
教堂	jiao tang
交通	jiao tong
交通便利	jiao tong bian li
交通管理	jiao tong guan li
交通事故	jiao tong shi gu
交通运输	jiao tong yun shu
交往	jiao wang
较为	jiao wei
叫我	jiao wo
脚下	jiao xia
较小	jiao xiao
教学	jiao xue
教学方法	jiao xue fang fa
教学内容	jiao xue nei rong
教学质量	jiao xue zhi liang
教训	jiao xun
教研室	jiao yan shi
交易	jiao yi
交易所	jiao yi suo
交友	jiao you
教育	jiao yu
教育部	jiao yu bu
教育工作	jiao yu gong zuo
教育活动	jiao yu huo dong
教育教学	jiao yu jiao xue
教育局	jiao yu ju
教育培训	jiao yu pei xun
教育事业	jiao yu shi ye
教育厅	jiao yu ting
教职工	jiao zhi gong
较重	jiao zhong
叫作	jiao zuo
阶层	jie ceng
接触	jie chu
解除	jie chu
解答	jie da
接待	jie dai
街道	jie dao
接到	jie dao
节点	jie dian
界定	jie ding
解读	jie du
阶段	jie duan
阶段的	jie duan de
解放	jie fang
解放军	jie fang jun
结构	jie gou
结构调整	jie gou tiao zheng
接管	jie guan
接轨	jie gui
结果	jie guo
接过	jie guo
结果是	jie guo shi
结合	jie he
结合起来	jie he qi lai
结婚	jie hun
阶级	jie ji
节假日	jie jia ri
借鉴	jie jian
接近	jie jin
结局	jie ju
解决	jie jue
解决方案	jie jue fang an
解决方法	jie jue fang fa
解决了	jie jue le
解决问题	jie jue wen ti
接口	jie kou
借口	jie kou
借款	jie kuan
结论	jie lun
姐妹	jie mei
界面	jie mian
节目	jie mu
节能	jie neng
节日	jie ri
接入	jie ru
介入	jie ru
街上	jie shang
介绍	jie shao
介绍了	jie shao le
介绍说	jie shao shuo
节省	jie sheng
解释	jie shi
届时	jie shi
揭示	jie shi
接受	jie shou
接收	jie shou
接收了	jie shou le
接受了	jie shou le
结束	jie shu
结束后	jie shu hou
结束了	jie shu le
节水	jie shui
解说	jie shuo
结算	jie suan
街头	jie tou
解脱	jie tuo
结尾	jie wei
解析	jie xi
接下	jie xia
接下来	jie xia lai
界限	jie xian
解压	jie ya
解压密码	jie ya mi ma
节约	jie yue
接着	jie zhe
戒指	jie zhi
截止	jie zhi
截至	jie zhi
节制	jie zhi
借助	jie zhu
节奏	jie zou
金币	jin bi
进步	jin bu
进程	jin cheng
进出口	jin chu kou
近代	jin dai
仅代表	jin dai biao
金的	jin de
进度	jin du
金额	jin e
进而	jin er
金刚	jin gang
进攻	jin gong
仅供	jin gong
仅供参考	jin gong can kao
尽管	jin guan
今后	jin hou
进化	jin hua
进货	jin huo
紧急	jin ji
近几年	jin ji nian
进军	jin jun
进口	jin kou
尽快	jin kuai
进来	jin lai
近来	jin lai
进了	jin le
尽力	jin li
尽量	jin liang
紧密	jin mi
紧密结合	jin mi jie he
仅能	jin neng
今年	jin nian
近年	jin nian
近年来	jin nian lai
今年以来	jin nian yi lai
金牌	jin pai
浸泡	jin pao
近期	jin qi
金钱	jin qian
尽情	jin qing
进球	jin qiu
进去	jin qu
金融	jin rong
金融机构	jin rong ji gou
进入	jin ru
进入了	jin ru le
进入中国	jin ru zhong guo
金色	jin se
金山	jin shan
谨慎	jin shen
晋升	jin sheng
仅是	jin shi
金属	jin shu
今天	jin tian
今天是	jin tian shi
津贴	jin tie
今晚	jin wan
仅为	jin wei
进行	jin xing
进行分析	jin xing fen xi
进行检查	jin xing jian cha
进行了	jin xing le
进修	jin xiu
进一步	jin yi bu
进一步的	jin yi bu de
禁用	jin yong
仅有	jin you
仅在	jin zai
尽在	jin zai
进展	jin zhan
紧张	jin zhang
紧张的	jin zhang de
禁止	jin zhi
精彩	jing cai
精彩的	jing cai de
警察	jing cha
经常	jing chang
京城	jing cheng
经典	jing dian
景点	jing dian
精度	jing du
警方	jing fang
经费	jing fei
警告	jing gao
景观	jing guan
经过	jing guo
经过了	jing guo le
精华	jing hua
净化	jing hua
经济	jing ji
经济法	jing ji fa
经济发展	jing ji fa zhan
经济建设	jing ji jian she
经纪人	jing ji ren
经济社会	jing ji she hui
经济效益	jing ji xiao yi
经济学	jing ji xue
经济增长	jing ji zeng zhang
竞价	jing jia
境界	jing jie
经理	jing li
经历	jing li
精力	jing li
经历了	jing li le
经理人	jing li ren
净利润	jing li run
精灵	jing ling
经贸	jing mao
精美	jing mei
精密	jing mi
境内	jing nei
精品	jing pin
敬请	jing qing
景区	jing qu
精确	jing que
竟然	jing ran
惊人	jing ren
惊人的	jing ren de
竞赛	jing sai
景色	jing se
精神	jing shen
竟是	jing shi
警示	jing shi
精髓	jing sui
静态	jing tai
警惕	jing ti
精通	jing tong
镜头	jing tou
境外	jing wai
惊喜	jing xi
精细	jing xi
镜像	jing xiang
景象	jing xiang
经销	jing xiao
经销商	jing xiao shang
精心	jing xin
精选	jing xuan
惊讶	jing ya
经验	jing yan
经验值	jing yan zhi
敬业	jing ye
经营	jing ying
精英	jing ying
经营的	jing ying de
经营范围	jing ying fan wei
经营管理	jing ying guan li
经营活动	jing ying huo dong
经营理念	jing ying li nian
经营模式	jing ying mo shi
经营权	jing ying quan
经营性	jing ying xing
经营者	jing ying zhe
竞争	jing zheng
竞争的	jing zheng de
竞争对手	jing zheng dui shou
竞争力	jing zheng li
竞争中	jing zheng zhong
精致	jing zhi
镜子	jing zi
精子	jing zi
就把	jiu ba
就被	jiu bei
就必须	jiu bi xu
就不	jiu bu
就不会	jiu bu hui
就不能	jiu bu neng
就成了	jiu cheng le
就此	jiu ci
就得	jiu dei
酒店	jiu dian
就读	jiu du
纠纷	jiu fen
就更	jiu geng
就好	jiu hao
就好了	jiu hao le
就很	jiu hen
就会	jiu hui
就将	jiu jiang
就叫	jiu jiao
究竟	jiu jing
酒精	jiu jing
究竟是	jiu jing shi
就开始	jiu kai shi
就看	jiu kan
就可	jiu ke
就可以	jiu ke yi
就可以了	jiu ke yi le
就来	jiu lai
就连	jiu lian
就没	jiu mei
就没有	jiu mei you
就能	jiu neng
就去	jiu qu
就让	jiu rang
就是	jiu shi
就是说	jiu shi shuo
就是我	jiu shi wo
就是要	jiu shi yao
就是在	jiu shi zai
就是这样	jiu shi zhe yang
就说	jiu shuo
就算	jiu suan
九五	jiu wu
就像	jiu xiang
就想	jiu xiang
就行	jiu xing
就行了	jiu xing le
就要	jiu yao
就业	jiu ye
就已经	jiu yi jing
就应该	jiu ying gai
就用	jiu yong
就有	jiu you
救援	jiu yuan
九月	jiu yue
就越	jiu yue
就在	jiu zai
就在于	jiu zai yu
就这么	jiu zhe me
就这样	jiu zhe yang
纠正	jiu zheng
就知道	jiu zhi dao
救助	jiu zhu
举办	ju ban
举办了	ju ban le
举报	ju bao
具备	ju bei
具备了	ju bei le
剧本	ju ben
局部	ju bu
剧场	ju chang
据此	ju ci
举措	ju cuo
巨大	ju da
巨大的	ju da de
举动	ju dong
聚会	ju hui
聚集	ju ji
聚焦	ju jiao
据介绍	ju jie shao
拒绝	ju jue
俱乐部	ju le bu
距离	ju li
据了解	ju liao jie
局面	ju mian
居民	ju min
剧情	ju qing
居然	ju ran
据说	ju shuo
具体	ju ti
具体情况	ju ti qing kuang
具体要求	ju ti yao qiu
据统计	ju tong ji
巨头	ju tou
据悉	ju xi
举行	ju xing
举行了	ju xing le
具有	ju you
局域网	ju yu wang
局长	ju zhang
居住	ju zhu
句子	ju zi
捐款	juan kuan
捐赠	juan zeng
决策	jue ce
绝大部分	jue da bu fen
绝大多数	jue da duo shu
觉得	jue de
决定	jue ding
决定了	jue ding le
绝对	jue dui
绝对不	jue dui bu
绝对是	jue dui shi
崛起	jue qi
决赛	jue sai
角色	jue se
绝望	jue wang
决心	jue xin
决议	jue yi
绝缘	jue yuan
均不	jun bu
军队	jun dui
竣工	jun gong
军官	jun guan
均衡	jun heng
均价	jun jia
均可	jun ke
军人	jun ren
军事	jun shi
均是	jun shi
均属	jun shu
军团	jun tuan
均为	jun wei
均有	jun you
均由	jun you
均匀	jun yun
君子	jun zi
卡的	ka de
咖啡	ka fei
卡号	ka hao
卡里	ka li
卡片	ka pian
卡通	ka tong
开办	kai ban
开本	kai ben
开采	kai cai
开车	kai che
开出	kai chu
开创	kai chuang
开的	kai de
开店	kai dian
开发	kai fa
开发利用	kai fa li yong
开发区	kai fa qu
开发商	kai fa shang
开发者	kai fa zhe
开放	kai fang
开工	kai gong
开关	kai guan
开户	kai hu
开会	kai hui
开机	kai ji
开具	kai ju
开口	kai kou
开来	kai lai
开了	kai le
开门	kai men
开幕	kai mu
开幕式	kai mu shi
开盘	kai pan
开辟	kai pi
开启	kai qi
开设	kai she
开始	kai shi
开始了	kai shi le
开通	kai tong
开头	kai tou
